EmployeeID	FirstName	LastName	BirthDate	Gender	Country	City	postalCode	HireDate	PhoneNumber	Email	phonenumberType
1	Nicole	Fuller	3/7/1981	M	Swaziland	Austin	63756	11/8/2016	364-555-0150	Nicolee4@adventure-works.com	Home
2	Christine	Palmer	1/25/1968	F	Uganda	Fremont	20641	11/8/2016	651-555-0132	Christine21@adventure-works.com	Cell
3	Pablo	Cline	2/9/1963	M	Swaziland	Austin	63756	6/12/2016	1 (11) 500 555-0179	pablo34@adventure-works.com	Home
4	Darnell	Nielsen	2/6/1989	M	Swaziland	Lincoln	35659	10/11/2015	1 (11) 500 555-0179	Darnellr55@adventure-works.com	Home
5	Desiree	Stuart	5/3/1963	M	Swaziland	Anaheim	18752	10/11/2015	1 (11) 500 555-0142	Desiree25@adventure-works.com	Home
6	Holly	Collins	1/13/1987	F	Swaziland	Tucson	51352	6/9/2014	1 (11) 500 555-0113	King69@adventure-works.com	Cell
7	Chadwick	Cooks	5/2/1970	F	Tucson	Swaziland	51352	6/9/2014	716-555-0195	Cook54@adventure-works.com	Cell
8	Julie	Dyer	12/13/1956	M	Swaziland	Mesa	14626	6/9/2014	666-555-0160	Chen62@adventure-works.com	Cell
9	Daphne	King	5/2/1956	M	Swaziland	Cincinnati	32198	6/9/2014	1 (11) 500 555-0114	Kari18@adventure-works.com	Cell
10	Jean	Vang	12/30/1963	F	Canada	Atlanta	66212	6/9/2014	435-555-0162	Vang67@adventure-works.com	Home
11	Sonya	Dickson	1/14/1976	F	Thailand	Spokane	38103	6/9/2014	1 (11) 500 555-0151	Sonya63@adventure-works.com	Cell
12	Lindsay	Chen	9/3/1951	M	Swaziland	Cleveland	20151	6/9/2014	1 (11) 500 555-0185	Kari18@adventure-works.com	Cell
13	Katina	Marks	4/18/1963	M	Swaziland	Portland	6794	4/15/2017	1 (11) 500 555-0114	Kario918@adventure-works.com	Cell
14	Wendi	Buckley	9/5/1961	M	Swaziland	Phoenix	29029	12/5/2016	1 (11) 500 555-0111	Wen60@adventure-works.com	Home
15	Kari	Finley	2/17/1972	F	Swaziland	Oakland	40050	11/22/2015	1 (11) 500 555-0176	walton19@adventure-works.com	Cell
16	Chadwick	Walton	7/7/1951	F	Oakland	Swaziland	40050	11/22/2015	1 (11) 500 555-0133	Walton46@adventure-works.com	Cell
17	Seth	Franco	8/29/1989	F	Swaziland	Oakland	40050	11/11/2014	1 (11) 500 555-0167	Bartlet9@adventure-works.com	Home
18	Warren	Bartlett	3/9/1964	F	St. Paul	Swaziland	3863	5/13/2014	413-555-0137	Bernard15@adventure-works.com	Cell
19	Bernard	Moody	3/22/1970	M	Swaziland	Aurora	31536	8/27/2014	617-555-0189	Riddle36@adventure-works.com	Cell
20	Shelby	Riddle	6/13/1964	M	Zambia	Indianapolis	81678	8/27/2014	1 (11) 500 555-0119	Devonp4@adventure-works.com	Cell
21	Devon	Brewer	4/25/1966	F	Swaziland	Anchorage	29493	8/27/2014	461-555-0187	Tonia36@adventure-works.com	Home
22	Tonia	Mc Millan	3/2/1952	M	Anchorage	Swaziland	29493	12/9/2016	723-555-0116	mcw19@adventure-works.com	Cell
23	Janet	Flowers	3/1/1979	F	Arlington	Montserrat	12654	12/9/2016	160-555-0110	flower99@adventure-works.com	Cell
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
